Y_column;Model;Hyperparameters;Accuracy_kfold;Precision_kfold;Recall_kfold;F1_kfold;ROC_AUC_kfold;Confusion Matrix (k-fold);Accuracy_ext;Precision_ext;Recall_ext;F1_ext;ROC_AUC_ext;Confusion Matrix (External);NOT in AD train;NOT in AD test
1;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.8888888888888888;0.9375;0.8333333333333334;0.8823529411764706;0.888888888888889;"[[17  1]
 [ 3 15]]";0.875;1.0;0.8333333333333334;0.9090909090909091;0.9166666666666667;"[[2 0]
 [1 5]]";[];[]
2;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 40};0.8125;0.8125;0.8125;0.8125;0.8125;"[[13  3]
 [ 3 13]]";0.75;0.75;0.75;0.75;0.75;"[[3 1]
 [1 3]]";[];[]
3;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 40};0.7692307692307693;0.7333333333333333;0.8461538461538461;0.7857142857142857;0.7692307692307693;"[[ 9  4]
 [ 2 11]]";0.875;0.6666666666666666;1.0;0.8;0.9166666666666667;"[[5 1]
 [0 2]]";[];[]
4;RF;{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 40};0.8461538461538461;0.8461538461538461;0.8461538461538461;0.8461538461538461;0.8461538461538461;"[[11  2]
 [ 2 11]]";0.625;0.6;0.75;0.6666666666666666;0.625;"[[2 2]
 [1 3]]";[];[]
5;RF;{'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50};0.5909090909090909;0.5833333333333334;0.6363636363636364;0.6086956521739131;0.5909090909090908;"[[6 5]
 [4 7]]";0.75;1.0;0.5;0.6666666666666666;0.75;"[[4 0]
 [2 2]]";[];[]
6;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 40};0.84375;0.8235294117647058;0.875;0.8484848484848485;0.84375;"[[13  3]
 [ 2 14]]";0.75;1.0;0.6;0.75;0.8;"[[3 0]
 [2 3]]";[];[]
7;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50};0.75;0.7692307692307693;0.7142857142857143;0.7407407407407407;0.7500000000000001;"[[11  3]
 [ 4 10]]";0.75;1.0;0.3333333333333333;0.5;0.6666666666666666;"[[5 0]
 [2 1]]";[];[]
8;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;"[[10  2]
 [ 2 10]]";0.875;0.6666666666666666;1.0;0.8;0.9166666666666667;"[[5 1]
 [0 2]]";[];[]
9;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50};0.84375;0.8666666666666667;0.8125;0.8387096774193549;0.84375;"[[14  2]
 [ 3 13]]";0.625;1.0;0.5714285714285714;0.7272727272727273;0.7857142857142857;"[[1 0]
 [3 4]]";[];[]
10;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50};0.9285714285714286;0.9285714285714286;0.9285714285714286;0.9285714285714286;0.9285714285714286;"[[13  1]
 [ 1 13]]";0.5;0.6666666666666666;0.4;0.5;0.5333333333333333;"[[2 1]
 [3 2]]";[];[]
