Nanoparticle;Exposure time;Dose;Charge
24hrs: TiO2 NP10+ 18µg ;1;1.8;1
24hrs: TiO2 NP10.5 18µg ;1;1.7142857142857142;0
24hrs: TiO2 NP 54µg ;1;5.4;0
24hrs: TiO2 NP10+ 54µg ;1;5.4;1
24hrs: TiO2 NP38 18µg ;1;0.47368421052631576;0
24hrs: TiO2 NP10 162µg ;1;16.2;0
24hrs: TiO2 NP10+ 162µg ;1;16.2;1
24hrs: TiO2 NP10.5 162µg ;1;15.428571428571429;0
28 Days: TiO2 NP10 18µg ;28;1.8;0
28 Days: TiO2 NP10+ 18µg ;28;1.8;1
28 Days: TiO2 NP10.5 18µg ;28;1.7142857142857142;0
24hrs: TiO2 NP38 162µg ;1;4.2631578947368425;0
28 Days: TiO2 NP20.6 18 µg ;28;0.8737864077669902;0
28 Days: TiO2 NP10 54µg ;28;5.4;0
28 Days: TiO2 NP10+ 54µg ;28;5.4;1
28 Days: TiO2 NP10.5 54µg ;28;5.142857142857143;0
24hrs: TiO2 NP20.6 54 µg ;28;2.6213592233009706;0
28 Days: TiO2 NP20.6 54 µg ;28;2.6213592233009706;0
28 Days: TiO2  NP10 162µg ;28;16.2;0
28 Days: TiO2 NP10+ 162µg ;28;16.2;1
28 Days: TiO2 NP38 54µg ;28;1.4210526315789473;0
24hrs: TiO2 NP20.6 162 µg ;28;7.864077669902912;0
28 Days: TiO2 NP20.6 162 µg ;28;7.864077669902912;0
28 Days: TiO2 NP38 162µg ;28;4.2631578947368425;0
