Y_column;Model;Hyperparameters;Accuracy_kfold;Precision_kfold;Recall_kfold;F1_kfold;ROC_AUC_kfold;Confusion Matrix (k-fold);Accuracy_ext;Precision_ext;Recall_ext;F1_ext;ROC_AUC_ext;Confusion Matrix (External);NOT in AD train;NOT in AD test
1;RF;{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150};0.75;0.7777777777777778;0.7;0.7368421052631577;0.75;"[[16  4]
 [ 6 14]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
2;RF;{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50};0.7619047619047619;0.7894736842105263;0.7142857142857143;0.7500000000000001;0.761904761904762;"[[17  4]
 [ 6 15]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
3;RF;{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 40};0.7777777777777778;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.7777777777777777;"[[14  4]
 [ 4 14]]";0.6666666666666666;1.0;0.6;0.7499999999999999;0.9;"[[1 0]
 [2 3]]";[];[]
4;RF;{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50};0.8157894736842105;0.875;0.7368421052631579;0.7999999999999999;0.8157894736842105;"[[17  2]
 [ 5 14]]";0.8333333333333334;1.0;0.8;0.888888888888889;0.9;"[[1 0]
 [1 4]]";[];[]
5;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.7894736842105263;0.8235294117647058;0.7368421052631579;0.7777777777777778;0.7894736842105263;"[[16  3]
 [ 5 14]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
6;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150};0.5789473684210527;0.5789473684210527;0.5789473684210527;0.5789473684210527;0.5789473684210527;"[[11  8]
 [ 8 11]]";0.6666666666666666;1.0;0.6;0.7499999999999999;1.0;"[[1 0]
 [2 3]]";[];[]
7;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150};0.825;0.8421052631578947;0.8;0.8205128205128205;0.825;"[[17  3]
 [ 4 16]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
8;RF;{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};0.8157894736842105;0.8;0.8421052631578947;0.8205128205128205;0.8157894736842104;"[[15  4]
 [ 3 16]]";0.6666666666666666;1.0;0.5;0.6666666666666666;0.75;"[[2 0]
 [2 2]]";[];[]
9;RF;{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.85;0.8888888888888888;0.8;0.8421052631578948;0.8500000000000001;"[[18  2]
 [ 4 16]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
10;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9523809523809523;1.0;0.9047619047619048;0.9500000000000001;0.9523809523809523;"[[21  0]
 [ 2 19]]";0.8333333333333334;0.8333333333333334;1.0;0.9090909090909091;0.4;"[[0 1]
 [0 5]]";[];[]
11;RF;{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50};0.71875;0.7692307692307693;0.625;0.6896551724137931;0.71875;"[[13  3]
 [ 6 10]]";0.6666666666666666;1.0;0.6;0.7499999999999999;0.9;"[[1 0]
 [2 3]]";[];[]
12;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50};0.8;0.875;0.7;0.7777777777777777;0.8;"[[18  2]
 [ 6 14]]";0.5;0.75;0.6;0.6666666666666665;0.2;"[[0 1]
 [2 3]]";[];[]
